url_original,titulo,url_afiliado
https://www.mercadolivre.com.br/vinil-engenheiros-do-hawaii-tchau-radar-1999-2lp-vermelh-verso-do-album-standard/p/MLB46307124,Vinil Engenheiros Do Hawaii - Tchau Radar! 1999 2lp Vermelh Versão Do Álbum Standard,https://meli.la/1CxD23o
https://www.mercadolivre.com.br/boxset-vinil-imagine-dragons-smoke-mirrors-ten-3lp-rock-importado/p/MLB50977510,Boxset Vinil Imagine Dragons Smoke + Mirrors Ten 3LP Rock Importado,https://meli.la/27wabbK
https://www.mercadolivre.com.br/-vinil-disney-the-little-mermaid-importado-cd-verso-standard-2023/p/MLB44725162,- Vinil Disney - The Little Mermaid - Importado- cd versão standard 2023,https://meli.la/2SW6PBR
https://www.mercadolivre.com.br/vinil-niall-horan-this-townslow-hands-live-at-royal-albe-verso-do-album-standard/p/MLB50445828,Vinil Niall Horan - This Town/slow Hands Live At Royal Albe Versão Do Álbum Standard,https://meli.la/1BY9piP
https://www.mercadolivre.com.br/vinil-mumford-sons-rushmere-almost-places-recycled-red-verso-do-album-standard/p/MLB50706259,Vinil Mumford & Sons - Rushmere: 'almost Places Recycled Red Versão Do Álbum Standard,https://meli.la/2LZQLv3
https://www.mercadolivre.com.br/jorge-ben-jor-vinil-jorge-ben-jor-africa-brasil-33-rpm-v/p/MLB64179012,Jorge Ben Jor Vinil Jorge Ben Jor - África Brasil - 33 Rpm V,⚠️ Este URL não é permitido pelo Programa.
https://www.mercadolivre.com.br/vinil-renato-russo-o-ultimo-solo-laranja-renato-russo-standard/p/MLB69642486,Vinil Renato Russo - O Último Solo (laranja) Renato Russo Standard,⚠️ Este URL não é permitido pelo Programa.
https://www.mercadolivre.com.br/vinil-duda-beat-esse-delirio-vol-1-lp-branco-duda-beat-standard/p/MLB72861641,Vinil Duda Beat - Esse Delírio Vol. 1 (lp Branco) Duda Beat Standard,⚠️ Este URL não é permitido pelo Programa.
https://www.mercadolivre.com.br/vinil-os-saltimbancos-os-saltimbancos-lp-laranja-os-salt-standard/p/MLB68664481,Vinil Os Saltimbancos - Os Saltimbancos (lp Laranja) Os Salt Standard,https://meli.la/1ArfKHq
https://www.mercadolivre.com.br/vinil-rita-lee-ao-vivo-2lp-azul-vermelho-rita-lee-standard/p/MLB66110387,Vinil Rita Lee - Ao Vivo (2lp Azul / Vermelho) Rita Lee Standard,⚠️ Este URL não é permitido pelo Programa.
https://www.mercadolivre.com.br/vinil-cassia-eller-cassia-eller-ao-vivo-2lp-azul-amarel-standard/p/MLB65257659,Vinil Cássia Eller - Cassia Eller Ao Vivo 2lp Azul / Amarel Standard,https://meli.la/1rQ5SUL
https://www.mercadolivre.com.br/lp-vinil-duplo-milton-nascimento-clube-da-esquina-2-lacrad/p/MLB27526123,Lp Vinil Duplo Milton Nascimento - Clube Da Esquina 2 Lacrad,https://meli.la/2AmvE5h
https://www.mercadolivre.com.br/box-vinil-triplo-rita-lee-fruto-proibido-deluxe-lp12-2x7-standard-2025/p/MLB63741495,"Box Vinil Triplo Rita Lee Fruto Proibido Deluxe Lp12 2x7"" Standard 2025",⚠️ Este URL não é permitido pelo Programa.
https://www.mercadolivre.com.br/vinil-duplo-alcione-a-paixo-tem-memoria-2lp-fisico/p/MLB58676768,Vinil Duplo Alcione - A Paixão Tem Memória 2LP Físico,⚠️ Este URL não é permitido pelo Programa.
https://www.mercadolivre.com.br/vinil-vinicius-e-odette-lara-vinicius-odette-lara/p/MLB73432573,Vinil Vinicius e Odette Lara – Vinicius & Odette Lara,https://meli.la/1d6ubvb
https://www.mercadolivre.com.br/vinil-raul-seixas-novo-aeon-lp-dourado-translucido-esfuma-standard/p/MLB59394734,Vinil Raul Seixas - Novo Aeon Lp Dourado Translúcido Esfuma Standard,https://meli.la/14ave4F
https://www.mercadolivre.com.br/andrea-bocelli-vinil-duplo-andrea-bocelli-concerto-one-ni/p/MLB27614504,Andrea Bocelli Vinil Duplo Andrea Bocelli - Concerto: One Ni,⚠️ Este URL não é permitido pelo Programa.
https://www.mercadolivre.com.br/vinil-the-weeknd-beauty-behind-the-madness-2lp-picture-di-standard/p/MLB70222120,Vinil The Weeknd - Beauty Behind The Madness 2lp Picture Di Standard,⚠️ Este URL não é permitido pelo Programa.
https://www.mercadolivre.com.br/vinil-caetano-veloso-transa-translucido-caetano-veloso/p/MLB22951663,Vinil Caetano Veloso - Transa (translucido) Caetano Veloso,https://meli.la/1JwGDUC
